רוחות הזעם,https://www.steimatzky.co.il/011325193
בלובירד,https://www.steimatzky.co.il/010200392
לב רעב,https://www.steimatzky.co.il/010033346
ציידת היתומים,https://www.steimatzky.co.il/013621501
הרומן שלי עם כריסטי,https://www.steimatzky.co.il/010200393
באומגרטנר,https://www.steimatzky.co.il/011563427
לחישת הזאב,https://www.steimatzky.co.il/011325178
יוצא מן הכלל,https://www.steimatzky.co.il/011374914
שיעורים בכימיה,https://www.steimatzky.co.il/010200277
הקיסר חלק א,https://www.steimatzky.co.il/012010321
אמנות החיים הטובים /רולף דובלי,https://www.steimatzky.co.il/010200391
השטן מדבלין,https://www.steimatzky.co.il/012193176
עד שליבך יתנגן לימוד ימימה,https://www.steimatzky.co.il/011325069
הרוזנת מטוסקנה,https://www.steimatzky.co.il/011325170
המדריך לשמחת חיים,https://www.steimatzky.co.il/014561888
הקיסר חלק ב,https://www.steimatzky.co.il/012010322
הבחורה מקו 88,https://www.steimatzky.co.il/010200380
כראמל 8 גברת בלום שולטת,https://www.steimatzky.co.il/011374903
הלייף סטייל,https://www.steimatzky.co.il/011325177
נישואים בהזמנה,https://www.steimatzky.co.il/011330053
בליבה של עזה,https://www.steimatzky.co.il/011374913
המסדר,https://www.steimatzky.co.il/011374896
מהתחלה/דויד גרוסמן,https://www.steimatzky.co.il/010500440
להתאהב ולהישאר בחיים,https://www.steimatzky.co.il/012010275
מזייפים בהוליווד,https://www.steimatzky.co.il/011290086
הקדוש ברוך הוא וארבע רווקות מהשומרון,https://www.steimatzky.co.il/011325189
מוקף בבוסים גרועים,https://www.steimatzky.co.il/011374907
טוויסטד 1 אהבה מעוותת,https://www.steimatzky.co.il/011251496
המושבעת הטובה,https://www.steimatzky.co.il/010200394
המסע אל החופש,https://www.steimatzky.co.il/011374673
נערת תיכון שלי 1,https://www.steimatzky.co.il/011330037
קרבת דם / הרלן קובן,https://www.steimatzky.co.il/011374867
חנות הספרים במגדלור,https://www.steimatzky.co.il/010200364
ממילא גורלך נחרץ,https://www.steimatzky.co.il/010011167
פילוסופיה כפי שלימדתי את הכלב שלי,https://www.steimatzky.co.il/010200388
להיכנס לנעליה,https://www.steimatzky.co.il/011325123
למה אף אחד לא אמר לי את זה קודם?,https://www.steimatzky.co.il/012301801
החוקר סיפורו של יצחק אילן,https://www.steimatzky.co.il/011374910
טוויסטד 2 משחקים מעוותים,https://www.steimatzky.co.il/011251497
